user_id,username,nickname,bio,join_date,profile_pic_url,geo_location,num_followers,num_following,is_verified,"is_private
"
619018177,Xenofurys,Xenofurys,"Welcome Peeps! This page is all about League and PlayStation related s**t! Threat level moderate, engage at your own risk!",26-06-2012 12:11,http://pbs.twimg.com/profile_images/1313645181539885056/NM7J7z9p_normal.jpg,88,1354,1022,FALSE,"False'
"
9.91871E+17,Jennifer Beer\xf0\x9f\x95\xb7,iijennfier,No one is happy\xf0\x9f\x8e\xad,03-05-2018 02:45,http://pbs.twimg.com/profile_images/1325819426374029313/1QuHZ6WX_normal.jpg,114,151,140,FALSE,"False'
"
8.01764E+17,AndroBliz,androbliz,"A blog site that mostly share updates regarding to #tech. We\'ve always want to build a reputable brand just like @forbes, @cnn & other big organisations",24-11-2016 12:26,http://pbs.twimg.com/profile_images/1213468446840774657/CR1-XQ4q_normal.jpg,106,964,452,FALSE,"False'
"
7.53671E+17,le\xce\xb1\xd0\xbd \xe2\x9c\xa7,leahstuff_,#OW #AL #BE #DBD,14-07-2016 19:22,http://pbs.twimg.com/profile_images/1241710258763988994/DYHTKmM1_normal.jpg,92,108,91,FALSE,"False'
"
2384157752,Wahsbee,Wahsbee,Partnered @Twitch Broadcaster | Landscaping Guy | Dog\'s are the absolute best.,11-03-2014 20:16,http://pbs.twimg.com/profile_images/1283085836599406593/iCb8EPRG_normal.jpg,38,182,222,FALSE,"False'
"
9.85632E+17,Lena\xe2\x9c\xa8,cesowi,"Gaming, Black Metal & Breaking Bad.\xe2\x9a\x94\xf0\x9f\x8f\xb9\xf0\x9f\x8d\x81 Obsessed with Bloodborne & DOOM.",15-04-2018 21:33,http://pbs.twimg.com/profile_images/1317243024896819201/Nsd8O6Cs_normal.jpg,100,9,125,FALSE,"False'
"
3326181226,Cyberpalha\xc3\xa7o 2077,Monotonio,You\'re more than that,15-06-2015 03:26,http://pbs.twimg.com/profile_images/1148060613324804096/1Tb6bSAG_normal.jpg,220,34,130,FALSE,"False'
"
3363051004,Morgan Bzh,MorganBzh35,NULL,06-07-2015 20:15,http://pbs.twimg.com/profile_images/890740645488451584/mRMj70k__normal.jpg,15,472,4948,FALSE,"False'
"
4776897375,LaTaberna,latabernatv,"Estudio Enfocado en Esports del Sur de Chile.\nNoticias, competencias en linea y contenido para tus juegos favoritos.\nContacto: LaTabernaEsports@gmail.com",11-01-2016 19:13,http://pbs.twimg.com/profile_images/686721806133256192/nG6GWICo_normal.png,96,5397,69,FALSE,"False'
"
416553926,Maxigang,Mxgang,NULL,19-11-2011 21:15,http://pbs.twimg.com/profile_images/1246557690157043713/VIIsPfvr_normal.png,219,116,135,FALSE,"False'
"
2732851509,AKAI OTOKO \xe8\xb5\xa4\xe3\x81\x84\xe7\x94\xb7,AkaiOtoko93,MANGAKA AMATEUR FR\nPROJET : DARKOINE L\'ACTE 1 : LA R\xc3\x89BELLION.\nMON LVL EN DESSIN (MON AVIS) (90%),04-08-2014 00:13,http://pbs.twimg.com/profile_images/1331366218868133889/0PESST2A_normal.jpg,169,283,970,FALSE,"False'
"
